iter	Passed	Remaining
0	132	132022
1	141	70733
2	149	49761
3	158	39421
4	166	33214
5	178	29577
6	188	26700
7	197	24503
8	214	23581
9	222	22057
10	231	20826
11	239	19753
12	248	18861
13	257	18163
14	267	17533
15	274	16902
16	283	16413
17	293	15995
18	302	15593
19	310	15234
20	319	14875
21	328	14587
22	336	14288
23	345	14053
24	353	13789
25	363	13602
26	373	13477
27	383	13323
28	395	13249
29	409	13254
30	419	13105
31	427	12918
32	435	12754
33	443	12599
34	451	12461
35	460	12317
36	468	12183
37	475	12043
38	483	11923
39	491	11794
40	499	11682
41	507	11580
42	516	11497
43	526	11437
44	535	11371
45	545	11306
46	553	11219
47	561	11142
48	571	11092
49	582	11058
50	592	11025
51	601	10968
52	612	10941
53	622	10898
54	630	10839
55	639	10786
56	647	10718
57	659	10706
58	670	10696
59	684	10722
60	693	10682
61	703	10637
62	711	10579
63	720	10535
64	728	10485
65	737	10438
66	745	10381
67	752	10318
68	760	10258
69	768	10212
70	775	10150
71	783	10095
72	790	10035
73	798	9990
74	804	9925
75	811	9868
76	817	9804
77	825	9754
78	832	9705
79	839	9659
80	846	9602
81	853	9551
82	866	9575
83	874	9530
84	880	9473
85	886	9422
86	892	9368
87	898	9315
88	904	9261
89	911	9215
90	918	9173
91	924	9124
92	931	9083
93	937	9035
94	943	8989
95	952	8969
96	958	8923
97	969	8923
98	978	8901
99	986	8875
100	993	8841
101	1000	8810
102	1011	8806
103	1019	8780
104	1027	8762
105	1034	8722
106	1042	8702
107	1048	8662
108	1059	8658
109	1065	8619
110	1071	8584
111	1078	8547
112	1084	8509
113	1090	8473
114	1097	8445
115	1104	8413
116	1110	8382
117	1117	8352
118	1123	8316
119	1129	8284
120	1136	8252
121	1141	8217
122	1147	8184
123	1154	8158
124	1162	8136
125	1170	8116
126	1177	8094
127	1184	8068
128	1193	8056
129	1201	8043
130	1209	8021
131	1216	7999
132	1223	7977
133	1231	7959
134	1238	7937
135	1246	7917
136	1252	7892
137	1260	7872
138	1267	7849
139	1274	7829
140	1281	7805
141	1288	7783
142	1296	7769
143	1303	7750
144	1312	7736
145	1319	7718
146	1325	7693
147	1332	7673
148	1339	7651
149	1350	7651
150	1358	7640
151	1364	7611
152	1368	7577
153	1373	7547
154	1378	7514
155	1382	7481
156	1387	7450
157	1392	7420
158	1397	7393
159	1402	7364
160	1407	7335
161	1412	7306
162	1418	7281
163	1423	7258
164	1428	7231
165	1434	7204
166	1438	7177
167	1444	7153
168	1449	7129
169	1457	7113
170	1463	7096
171	1470	7080
172	1476	7058
173	1482	7038
174	1487	7013
175	1492	6985
176	1495	6955
177	1499	6924
178	1503	6893
179	1506	6863
180	1510	6835
181	1514	6805
182	1518	6777
183	1521	6749
184	1526	6723
185	1529	6695
186	1533	6667
187	1537	6640
188	1541	6615
189	1545	6589
190	1549	6563
191	1554	6541
192	1559	6519
193	1563	6493
194	1566	6467
195	1570	6443
196	1574	6417
197	1578	6393
198	1582	6369
199	1586	6344
200	1591	6325
201	1595	6304
202	1599	6281
203	1604	6259
204	1607	6235
205	1611	6212
206	1615	6190
207	1619	6167
208	1623	6144
209	1627	6121
210	1630	6098
211	1635	6078
212	1638	6055
213	1642	6033
214	1646	6011
215	1650	5991
216	1654	5968
217	1657	5946
218	1661	5925
219	1665	5905
220	1669	5883
221	1673	5864
222	1676	5842
223	1681	5824
224	1684	5803
225	1689	5786
226	1693	5766
227	1697	5748
228	1701	5728
229	1705	5710
230	1709	5690
231	1713	5672
232	1717	5652
233	1720	5632
234	1724	5613
235	1728	5595
236	1732	5577
237	1735	5557
238	1739	5538
239	1744	5523
240	1748	5507
241	1752	5489
242	1756	5471
243	1760	5453
244	1764	5436
245	1768	5421
246	1772	5404
247	1776	5387
248	1780	5369
249	1783	5351
250	1787	5334
251	1791	5318
252	1795	5300
253	1799	5283
254	1803	5267
255	1806	5250
256	1818	5257
257	1823	5244
258	1827	5228
259	1831	5211
260	1835	5197
261	1839	5182
262	1843	5167
263	1847	5151
264	1852	5138
265	1856	5122
266	1860	5107
267	1864	5091
268	1868	5076
269	1872	5061
270	1875	5045
271	1879	5030
272	1883	5015
273	1887	5001
274	1891	4986
275	1894	4970
276	1898	4956
277	1902	4942
278	1906	4927
279	1910	4913
280	1914	4899
281	1918	4884
282	1922	4870
283	1926	4856
284	1930	4843
285	1935	4832
286	1939	4818
287	1943	4804
288	1947	4790
289	1951	4777
290	1956	4765
291	1960	4752
292	1964	4739
293	1967	4725
294	1971	4711
295	1975	4698
296	1979	4686
297	1983	4673
298	1987	4660
299	1992	4648
300	1995	4634
301	1999	4621
302	2003	4609
303	2008	4598
304	2012	4586
305	2017	4576
306	2022	4565
307	2027	4555
308	2031	4543
309	2035	4531
310	2040	4521
311	2044	4508
312	2048	4495
313	2052	4483
314	2057	4473
315	2061	4461
316	2064	4448
317	2068	4436
318	2073	4426
319	2077	4414
320	2081	4401
321	2085	4390
322	2089	4380
323	2093	4368
324	2097	4356
325	2103	4348
326	2107	4337
327	2111	4325
328	2115	4314
329	2120	4306
330	2124	4294
331	2128	4282
332	2135	4277
333	2140	4267
334	2144	4257
335	2149	4247
336	2155	4239
337	2160	4232
338	2165	4221
339	2170	4212
340	2174	4201
341	2181	4197
342	2185	4186
343	2189	4174
344	2194	4166
345	2198	4156
346	2202	4145
347	2207	4135
348	2212	4126
349	2215	4115
350	2219	4104
351	2225	4096
352	2229	4086
353	2233	4075
354	2238	4066
355	2243	4059
356	2247	4048
357	2251	4037
358	2256	4029
359	2260	4019
360	2264	4008
361	2268	3998
362	2274	3990
363	2277	3979
364	2281	3969
365	2285	3959
366	2289	3949
367	2293	3938
368	2297	3927
369	2301	3918
370	2304	3907
371	2311	3902
372	2315	3892
373	2319	3882
374	2323	3872
375	2327	3862
376	2332	3854
377	2336	3844
378	2339	3833
379	2343	3823
380	2347	3814
381	2351	3803
382	2355	3794
383	2359	3785
384	2364	3776
385	2368	3766
386	2371	3756
387	2375	3746
388	2380	3739
389	2384	3729
390	2388	3719
391	2391	3709
392	2396	3700
393	2399	3690
394	2403	3680
395	2406	3671
396	2410	3661
397	2414	3651
398	2417	3641
399	2421	3632
400	2425	3622
